region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.0,0.25,4,10,4.426387878103711,0.6499416990295617,4.485235229426761,168.61989686965592
ERCOT,0.0,0.5,4,10,5.590946688663247,0.6006915586451533,5.633697605100367,165.04520759153763
ERCOT,0.25,0.0,4,10,3.9573051005587043,1.2697320828805618,4.199256068113043,156.4776684902106
ERCOT,0.25,0.25,4,10,3.848940869589618,1.3539296540949441,4.112689558658927,140.2292038563433
ERCOT,0.25,0.5,4,10,4.6727558141790615,2.2809207635403914,5.321670129305307,134.74624130960166
ERCOT,0.5,0.0,4,10,4.005266408461159,1.2733444850267057,4.245192828729704,156.19327319637725
ERCOT,0.5,0.25,4,10,4.285455194837592,1.6918535170094469,4.6862226685234525,138.97304325512258
ERCOT,0.5,0.5,4,10,5.612950529875525,2.801087893388771,6.442524732663177,132.54645608882245
ERCOT,0.0,0.0,5,10,4.212463615209806,0.6644051347770509,4.27653404795404,173.60725347542245
ERCOT,0.0,0.25,5,10,4.520840976923707,0.8174448359530674,4.613553618564902,168.34995391151247
ERCOT,0.0,0.5,5,10,5.575986414422319,0.8750485294755053,5.663113211101285,164.7223373481331
ERCOT,0.25,0.0,5,10,3.9708747214508753,1.4785536368721277,4.276913231671808,156.0238850316969
ERCOT,0.25,0.25,5,10,3.9239775591616928,1.5454085837173632,4.2589315979364635,139.75921222532494
ERCOT,0.25,0.5,5,10,4.7474662443929905,2.5298282780663253,5.497486455724699,134.0093137382256
ERCOT,0.5,0.0,5,10,4.018631308214961,1.4893299549784615,4.324934150243758,155.73674098807234
ERCOT,0.5,0.25,5,10,4.440162247850347,1.941907065120192,4.918167117822884,138.3858008714131
ERCOT,0.5,0.5,5,10,5.800886427463051,3.144203389668112,6.768436403225222,131.61689966433843
ERCOT,0.0,0.0,6,10,4.207738371688354,0.753689619022085,4.289541329176149,173.4113791081501
ERCOT,0.0,0.25,6,10,4.6026767251324525,0.9375606949332361,4.723339039512515,168.10123090266
ERCOT,0.0,0.5,6,10,5.566451551805191,0.9626548975504513,5.67340534446669,164.48422104236266
ERCOT,0.25,0.0,6,10,3.98068734967227,1.6520353220598643,4.345318696087926,155.61783526262144
ERCOT,0.25,0.25,6,10,3.9054351821069715,1.8377232026232166,4.359993093821278,139.24409405998196
ERCOT,0.25,0.5,6,10,4.625234701054351,2.909936526752775,5.5542342271714915,133.2681747707538
ERCOT,0.5,0.0,6,10,4.008484468455147,1.6728739903678729,4.382557629170284,155.31810010057862
ERCOT,0.5,0.25,6,10,4.500229662050822,2.2485569915826304,5.083611945605745,137.78945914712878
ERCOT,0.5,0.5,6,10,5.768243244051036,3.6025277860062435,6.9433676344350905,130.6848325089269
ERCOT,0.0,0.0,7,10,4.208321854692216,0.8300363604726014,4.3042967293399546,173.23217513299568
ERCOT,0.0,0.25,7,10,4.643513046284318,1.0601211827736126,4.78798247763532,167.86352423276134
ERCOT,0.0,0.5,7,10,5.54728841871699,1.024408671910005,5.667673002786361,164.28028577195334
ERCOT,0.25,0.0,7,10,4.0093077121777405,1.7839746564362318,4.42509924050356,155.2487870490932
ERCOT,0.25,0.25,7,10,3.8176864948742764,2.089620173311784,4.389186148278886,138.76624904733475
ERCOT,0.25,0.5,7,10,4.427885357333613,3.303416559855536,5.607971864411989,132.5319905081539
ERCOT,0.5,0.0,7,10,4.031635517032864,1.8021623216282607,4.457497546920839,154.94885705234543
ERCOT,0.5,0.25,7,10,4.4676182864667915,2.51532850127238,5.167825118685802,137.2306096092699
ERCOT,0.5,0.5,7,10,5.626198541753846,4.03402117275495,7.0445173653010755,129.8025237639745
ERCOT,0.0,0.0,8,10,4.195363181210463,0.8924445817226918,4.303064055025939,173.06922045137355
ERCOT,0.0,0.25,8,10,4.677738525970239,1.1604995707792463,4.8442310823494825,167.6428516590408
ERCOT,0.0,0.5,8,10,5.522291093853137,1.11474477799619,5.6580201164323904,164.0739773315716
ERCOT,0.25,0.0,8,10,4.023335093281071,1.8811029324813557,4.474228281695723,154.92723302784287
ERCOT,0.25,0.25,8,10,3.7216391678870675,2.286262962311247,4.405846277909579,138.333921877574
ERCOT,0.25,0.5,8,10,4.263518061283081,3.5175565939640365,5.617955999287084,131.91519068154034
ERCOT,0.5,0.0,8,10,4.039767840081513,1.8962311775876428,4.499886622485414,154.62548148388885
ERCOT,0.5,0.25,8,10,4.407778669501621,2.7306226648909147,5.2213997047672915,136.72228657898742
ERCOT,0.5,0.5,8,10,5.529556727475756,4.337492591481252,7.128681227323024,129.02469426291466
ERCOT,0.0,0.0,9,10,4.187598999899069,0.9494287270701346,4.306973596282936,172.9170876834985
ERCOT,0.0,0.25,9,10,4.708629914908525,1.238059882364179,4.894138769762896,167.44419359577245
ERCOT,0.0,0.5,9,10,5.506444983352614,1.1854466297457633,5.65530276075443,163.88561893943682
