region,solar,wind,hours,inter,intra,std,mean
ERCOT,0.0,0.0,1,4.013817159247027,0.0,4.013817159247027,176.79656982882042
ERCOT,0.0,0.25,1,5.130007982878208,0.0,5.130007982878208,172.02687323999407
ERCOT,0.0,0.5,1,6.420830467591338,0.0,6.420830467591338,168.98663135875574
ERCOT,0.25,0.0,1,3.1645888842332366,0.0,3.1645888842332366,159.96401196315765
ERCOT,0.25,0.25,1,4.166582966817027,0.0,4.166582966817027,142.6240580817265
ERCOT,0.25,0.5,1,4.33570022801806,0.0,4.33570022801806,136.15704306749294
ERCOT,0.0,0.0,2,3.9543895438381953,0.2944520980556668,3.97048002029949,176.50211773076472
ERCOT,0.0,0.25,2,5.0455560423389,0.35991601575908294,5.061445945928365,171.666957224235
ERCOT,0.0,0.5,2,6.357906379996899,0.33213156167394414,6.36958358316973,168.65449979708183
ERCOT,0.25,0.0,2,3.1755535885868955,0.8366330689582375,3.3639892682660903,159.12737889419938
ERCOT,0.25,0.25,2,3.9751721417086925,1.1337605899715553,4.314890223872103,141.49029749175492
ERCOT,0.25,0.5,2,4.50170192348853,1.0358444091685253,4.7227276644471194,135.1211986583244
ERCOT,0.0,0.0,3,3.9420761825673063,0.4959333426160669,3.982160956667561,176.21856399072803
ERCOT,0.0,0.25,3,5.0207360259159275,0.5812276310727162,5.062329508143619,171.33012251378477
ERCOT,0.0,0.5,3,6.302712871218703,0.6365687438623406,6.344138531361739,168.26974837526018
ERCOT,0.25,0.0,3,3.115480520136149,1.2545061052909838,3.4514786473452186,158.44351421191075
ERCOT,0.25,0.25,3,3.8762234479233175,1.6159364240156853,4.383646660474264,140.61185218669448
ERCOT,0.25,0.5,3,4.498228123067866,1.6106438061168844,4.884989144251303,134.21224237971663
ERCOT,0.0,0.0,4,3.9074974878428455,0.659229408275834,3.975902924240831,175.93855674571142
ERCOT,0.0,0.25,4,4.94465910075673,0.8408889737022106,5.039651333006983,170.95836400274084
ERCOT,0.0,0.5,4,6.166470791580247,0.9959562126261003,6.277919295902694,167.80785535747447
ERCOT,0.25,0.0,4,3.039749081986009,1.5683568596758197,3.53920076044437,157.81953917417525
ERCOT,0.25,0.25,4,3.8298240895926408,1.9926695826905136,4.50209570461734,139.83518639846858
ERCOT,0.25,0.5,4,4.51326330103002,2.0446987459861905,5.04984998609776,133.39928006546614
ERCOT,0.0,0.0,5,3.85794267007208,0.7518413354770662,3.949304856910064,175.7095081886826
ERCOT,0.0,0.25,5,4.929531747018552,1.0202850298161912,5.062835704014131,170.63082349902896
ERCOT,0.0,0.5,5,6.060699186590803,1.2849628614054258,6.238945441847559,167.36557495522186
ERCOT,0.25,0.0,5,3.0132705271807585,1.8055215988553677,3.6257611328461765,157.27210943444098
ERCOT,0.25,0.25,5,3.8520328785719276,2.1499022441554025,4.605076079315555,139.25197221540242
ERCOT,0.25,0.5,5,4.557411414518467,2.295626772789754,5.196639535611158,132.7186361631155
