region,solar,wind,hours,years,inter,intra,std,mean
ERCOT,0.5,0.25,-1,3,2.8414658380281135,3.307444750764168,4.3953350221924685,133.90305287542435
ERCOT,0.5,0.5,-1,3,2.520918163226706,3.9360599120136377,4.79550571798615,126.96247219721972
ERCOT,0.0,0.0,-1,10,4.179681774925391,0.9931975442613801,4.309144607062212,172.77929036854894
ERCOT,0.0,0.25,-1,10,4.735105887873505,1.3049188453006055,4.938655533993933,167.26005744910387
ERCOT,0.0,0.5,-1,10,5.492499376889932,1.243756216958038,5.652481624239062,163.71303440650894
ERCOT,0.25,0.0,-1,10,4.051062388502021,2.036475529393961,4.562379000524733,154.3622042383516
ERCOT,0.25,0.25,-1,10,3.578941093543446,2.6172270394716515,4.468486412295689,137.5404874485207
ERCOT,0.25,0.5,-1,10,4.010714047146841,3.9078751415470894,5.699356489692786,130.79292654729332
ERCOT,0.5,0.0,-1,10,4.079556031704317,2.0808663143932087,4.614159009944984,154.03198970885745
ERCOT,0.5,0.25,-1,10,4.336556228933971,3.072038825153342,5.342645721516308,135.81610959455762
ERCOT,0.5,0.5,-1,10,5.437212024101922,4.758568880557914,7.310026496238947,127.67770983305307
ERCOT,0.0,0.0,-1,15,4.02059812112782,1.0911215304264563,4.192852988342436,173.89915422194616
ERCOT,0.0,0.25,-1,15,4.247122551499775,1.5014117490011218,4.548427510763895,168.19940982270214
ERCOT,0.0,0.5,-1,15,4.989626891663274,1.661841454833006,5.321369757874759,164.7511783443525
ERCOT,0.25,0.0,-1,15,4.069709238709222,2.1519429397924648,4.650072792282318,154.95884221332636
ERCOT,0.25,0.25,-1,15,3.4968586587794963,2.615271013643063,4.394475308359037,137.11490288689527
ERCOT,0.25,0.5,-1,15,4.167248478532437,3.448293908785644,5.524184689718622,130.37226878914348
ERCOT,0.5,0.0,-1,15,4.071680454698154,2.2150513005233123,4.691794891375409,154.57233103487815
ERCOT,0.5,0.25,-1,15,3.88711306142012,3.1474378862005903,5.026150655411424,135.21236473914854
ERCOT,0.5,0.5,-1,15,4.796685803081215,4.431465851312359,6.623330873710538,126.79745174342993
ERCOT,0.0,0.0,-1,11,4.037705732549614,0.9720117068613368,4.165894551409125,172.9845916109149
