,pct_wind_0,pct_wind_1,pct_wind_2,pct_wind_3,pct_wind_4,pct_wind_5,pct_wind_6,pct_wind_7,pct_wind_8,pct_wind_9,pct_wind_10,pct_wind_11,pct_wind_12,pct_wind_13,pct_wind_14,pct_wind_15,pct_wind_16,pct_wind_17,pct_wind_18,pct_wind_19,pct_wind_20,pct_wind_21,pct_wind_22,pct_wind_23,pct_wind_24,pct_wind_25,pct_wind_26,pct_wind_27,pct_wind_28,pct_wind_29,pct_wind_30,pct_wind_31,pct_wind_32,pct_wind_33,pct_wind_34,pct_wind_35,pct_wind_36,pct_wind_37,pct_wind_38,pct_wind_39,pct_wind_40,pct_wind_41,pct_wind_42,pct_wind_43,pct_wind_44,pct_wind_45,pct_wind_46,pct_wind_47,pct_wind_48,pct_wind_49,pct_wind_50,pct_wind_51,pct_wind_52,pct_wind_53,pct_wind_54,pct_wind_55,pct_wind_56,pct_wind_57,pct_wind_58,pct_wind_59,pct_wind_60,pct_wind_61,pct_wind_62,pct_wind_63,pct_wind_64,pct_wind_65,pct_wind_66,pct_wind_67,pct_wind_68,pct_wind_69,pct_wind_70,pct_wind_71,pct_wind_72,pct_wind_73,pct_wind_74,pct_wind_75,pct_wind_76,pct_wind_77,pct_wind_78,pct_wind_79,pct_wind_80,pct_wind_81,pct_wind_82,pct_wind_83,pct_wind_84,pct_wind_85,pct_wind_86,pct_wind_87,pct_wind_88,pct_wind_89,pct_wind_90,pct_wind_91,pct_wind_92,pct_wind_93,pct_wind_94,pct_wind_95,pct_wind_96,pct_wind_97,pct_wind_98,pct_wind_99,pct_wind_100
pct_solar_0,162.54894599106132,161.45589057583442,160.46187899217145,159.5352390094548,158.70502151013207,157.9668319191565,157.36237482674034,156.81833298488874,156.33327339541566,155.8924264726324,155.47360985084123,155.07383477583247,154.696244525716,154.33297026275787,153.98320972213241,153.65000972514852,153.3381707253695,153.03656838518418,152.73794261346828,152.45203665045727,152.17795702669966,151.91341585019393,151.65341308884942,151.40219704604672,151.16090178130142,150.9246017585398,150.69214218754138,150.46788442415067,150.2464910096031,150.02875803418388,149.8142927002681,149.60567956782424,149.39896375074002,149.19319918583608,148.99027117466625,148.79377934440396,148.59999417589722,148.40840632961033,148.21875887031746,148.03234402065246,147.85008769613387,147.66969943559573,147.4893111750576,147.31271469180038,147.14151646943998,146.97214490330092,146.80496217717098,146.63867184590043,146.47238151462992,146.30689164682124,146.1453745379105,145.98416747273683,145.82420201365358,145.66520678706306,145.5070752720929,145.34981150437488,145.19323044547446,145.0386674725644,144.8854104275007,144.7323618897761,144.58337030425187,144.4367915604026,144.29127383441372,144.1458265050278,144.0003791756418,143.85493184625582,143.70948451686985,143.5641994498825,143.42242258634656,143.28126769931396,143.14011281228144,142.99895792524885,142.85845946736814,142.7184496512987,142.58001701280526,142.44237058111588,142.30472414942642,142.1670777177371,142.02943128604764,141.89178592543897,141.75613208921763,141.62490703966168,141.4942288591958,141.36355067872984,141.23289765177032,141.10448110332322,140.97706698443267,140.850645765645,140.7249065920349,140.59916741842486,140.47342824481476,140.3480497222686,140.22496782640565,140.10315026627666,139.98155167235473,139.86078661622548,139.74002156009618,139.61928024934144,139.49935383129102,139.38044192404348,139.26153001679606
pct_solar_1,161.62910192691518,160.58223077286965,159.60126588436006,158.68239783740552,157.8683339641956,157.14931773712408,156.54700828309257,156.00428916544507,155.49635510474914,155.02727023708556,154.60692599873633,154.20883816657673,153.83445035647142,153.477175578429,153.1299392660246,152.79518873801618,152.47419945037575,152.15824444866735,151.85154129717267,151.55695988903724,151.27312588519266,150.99843149028774,150.7393773980067,150.48468778224978,150.235979541812,149.98901290082563,149.7466505555421,149.5090650620838,149.27818761179873,149.0544899888642,148.83629825481248,148.62190579185494,148.41168392583165,148.2027990301621,147.9958621528963,147.7920401693699,147.59398525557205,147.39838350312118,147.20544220071884,147.0145697681343,146.8275642832923,146.64107396985796,146.45458365642367,146.26828597105333,146.08527493306332,145.90743699203793,145.73054372694128,145.55729724490706,145.38481901213194,145.21669882676363,145.05114508882195,144.88666015145358,144.7224334266186,144.55875561121272,144.3953060213351,144.23234863058462,144.06939536317978,143.9070293480861,143.74547319162474,143.585755616985,143.4297649120865,143.27561309984418,143.12247525782942,142.97043659854455,142.81932929738403,142.66853545473413,142.5199137323271,142.3731050416018,142.22629635087648,142.080262008612,141.93624190691295,141.79223701471497,141.64881870000744,141.5054003853,141.36198207059252,141.21918560673052,141.07659301991282,140.9357507789568,140.7949940679315,140.65433207009423,140.51425449507607,140.37544585977284,140.24020797079618,140.1061168232413,139.97231544939493,139.8385140755486,139.70471270170214,139.57177333948982,139.44003292003066,139.30846025784314,139.17862061600079,139.04905849850047,138.92100503753116,138.79343908903348,138.66620906186265,138.53904197076452,138.41333214746814,138.28774023525494,138.16214832304163,138.0367611553112,137.91347297521844
pct_solar_2,160.84196010012909,159.81758319863292,158.8670110001472,157.98520778326875,157.17708400276194,156.45790724105456,155.85111802606184,155.2990375424578,154.77699697672776,154.29180281470232,153.85808018216375,153.46057491953798,153.09032125421513,152.72958296765623,152.37561718618414,152.03887456128462,151.70852849010578,151.38517029654528,151.07509637534525,150.7756433332217,150.48593952676876,150.20406697006948,149.93234735097553,149.66813934033226,149.41407663192155,149.16069278577712,148.908880582536,148.6624298362169,148.4190660219315,148.1860859038314,147.9559319415912,147.72615492228437,147.50185584173715,147.28100004405533,147.06402120546792,146.85072012452085,146.64308604536444,146.43889250207474,146.23687601706607,146.0386323327802,145.8427690079469,145.648593370142,145.4578416212995,145.27003444549956,145.08414884543365,144.90117585685027,144.71967647081775,144.54085832940214,144.36381017890298,144.1867620284038,144.01039340358506,143.83717560550278,143.66639722892586,143.49808272879528,143.33203376096412,143.16707862995406,143.00252507254,142.83897739055166,142.67542970856334,142.51194835991487,142.34855312460297,142.1879463452701,142.02886397461162,141.8705702899562,141.71227660530064,141.55580503400896,141.4035241730755,141.2548209264541,141.10611767983266,140.95741443321126,140.80871118658987,140.66000793996847,140.51130469334706,140.36260144672562,140.2138982001042,140.0651949534828,139.9165853305411,139.76870841464756,139.62389149140654,139.48042460607994,139.33695772075333,139.19349083542676,139.051915632267,138.9125215871189,138.77421418736122,138.6366148082592,138.49974051356784,138.36286621887655,138.22599192418522,138.09110296980774,137.95638236375498,137.8216617577023,137.6869411516496,137.55332854661177,137.42463421864556,137.2969314941544,137.16922876966314,137.04152604517196,136.91382332068076,136.78659592799895,136.65937613588602
pct_solar_3,160.18002806592904,159.17166367014346,158.24365468900214,157.36634874900938,156.5836851559768,155.87612668265191,155.2381147328109,154.67948578345178,154.15760960891535,153.6717565410629,153.23209638479685,152.81838641561458,152.43289961536473,152.06426786098592,151.71020451545192,151.36959338829868,151.04470980301684,150.72937268535463,150.41613535064673,150.105264305883,149.80229775056227,149.50645563371654,149.21724806279875,148.94083435120615,148.66871923191508,148.41112881840766,148.16067345868558,147.9110896235611,147.66333152363873,147.41941770558216,147.1786678912396,146.9406768748858,146.70479551807827,146.4719248342074,146.2401907377128,146.01638093622861,145.7971720437906,145.58101058175117,145.3661167708136,145.15346691633854,144.9473651395464,144.74545385713176,144.54451750236825,144.3452811293344,144.1495012704917,143.95908620089168,143.77103450568748,143.5846784727192,143.399538904545,143.2154057384171,143.03346406019048,142.85239039071928,142.67383653751833,142.4970810369651,142.3241779243845,142.15167294242508,141.98187740696312,141.81286643634974,141.64407206762172,141.47581583794303,141.30961521610277,141.1439689544648,140.9819631832293,140.82150236027397,140.66187600449032,140.50295900213266,140.34404199977502,140.18512499741732,140.02818037536042,139.87261950559355,139.7184230518719,139.56566242379088,139.41651952816784,139.26748158539672,139.11844364262564,138.96940569985455,138.82040345334528,138.67153335187075,138.5226632503962,138.37379314892164,138.22492304744716,138.0760529459726,137.92718284449808,137.77914634362,137.6329286042713,137.4869273961977,137.34273875335958,137.2009791118587,137.06111641916405,136.92166379420019,136.78332846443547,136.64679068066783,136.51123543176024,136.375790072525,136.24112591211167,136.10753003701444,135.97474209726653,135.84286968501428,135.71255903173812,135.58338554407223,135.4548455034589
pct_solar_4,159.60614557362206,158.59675157605264,157.66854432257782,156.84531782846213,156.06525186325848,155.36101985824507,154.7203986261358,154.1621511915274,153.63648355591135,153.15100230839087,152.6943068004303,152.27129005710646,151.86764370557424,151.49217406590228,151.13666804496037,150.793397577381,150.4584338098327,150.13925347061604,149.82550860074576,149.5151494467731,149.21021730627567,148.90827300025057,148.61302101608817,148.33230999433644,148.05686678778883,147.78673911685678,147.5209708586484,147.26359457862293,147.00925171957306,146.7561117862394,146.50508998439335,146.2590149625578,146.01355753864345,145.77219400352118,145.5353764654695,145.30380715577525,145.0729379462141,144.84606274311486,144.62282591895476,144.40240863939187,144.18545838400004,143.97204068309006,143.7619854280057,143.55304564250255,143.3459529189719,143.1447248511749,142.94640706620567,142.75182917212823,142.55725127805079,142.3626733839733,142.16821849552315,141.97497804107,141.7846961659382,141.59694350505842,141.4111341203127,141.22647272067005,141.0419972002496,140.8616695168859,140.68511728292054,140.51098384297967,140.33850164084296,140.16812362838718,139.9999598668279,139.8334130352198,139.66686620361168,139.5012486592132,139.33643762223213,139.17353075718975,139.01062389214727,138.84771702710486,138.6882813072394,138.53127952763072,138.37427774802194,138.2172759684132,138.0605031284839,137.90636303308332,137.7529736918378,137.60007035804753,137.4484661861994,137.29724301879523,137.1462835983652,136.99573179389276,136.84517998942042,136.6946663830307,136.54514382721783,136.3958154042556,136.24826007189603,136.1025548861952,135.95904731836237,135.81569701362943,135.67240465606238,135.52911229849525,135.38597159039338,135.2438541530702,135.1021231479869,134.96393743076516,134.8291899713097,134.69541062555766,134.56166579470894,134.42793039669007,134.2942452953658
pct_solar_5,159.10259382845683,158.09972445157345,157.1932780795621,156.37904521198115,155.60418172597753,154.90425563469904,154.26655203641002,153.69346126901203,153.17643985192896,152.68781091184513,152.2246433234197,151.80113466704617,151.39487360200513,151.00903140149333,150.65135206056232,150.31068112036107,149.97490530953144,149.64679799986445,149.32532367216797,149.00414300274784,148.68951595051325,148.3808743337686,148.0783202867768,147.78008135267623,147.4965912417219,147.21949659143692,146.94895743607134,146.6851431039953,146.426849111054,146.1685551181127,145.9115674455054,145.65679292474044,145.40460462543487,145.1534152688327,144.90710275672933,144.66553664052566,144.42870857637195,144.19475657524973,143.9648966145118,143.73628060511268,143.509306180282,143.28452220431788,143.0597382283538,142.83998702502515,142.62711595552702,142.41688227469075,142.20867673654985,142.00047119840886,141.79426368481617,141.59084064878093,141.38850207081347,141.18833946473697,140.99184524481583,140.79554568836522,140.60047296144046,140.4054002345157,140.21152458981484,140.0179579801375,139.82714895970204,139.638328262035,139.44950756436796,139.26238013215686,139.08257306765552,138.90665912129248,138.73151472772514,138.55786996638716,138.38579108211007,138.2149336093367,138.04657033679555,137.87990141763413,137.7162064931049,137.5538529338454,137.391564266318,137.23110087956042,137.0716422180978,136.91218355663514,136.7534671386769,136.5959215947556,136.43983590173264,136.28493577014825,136.13138778574682,135.97783980134543,135.82429181694403,135.67074383254257,135.517669315853,135.36611962786426,135.21597732036162,135.0665193379971,134.9184728112924,134.77221450041915,134.62779568266922,134.48355235744899,134.33955574654212,134.1959837842536,134.05241182196508,133.90888011206974,133.76661361929482,133.6267724549095,133.48780705218172,133.3501536533924,133.2127445758509
pct_solar_6,158.6586106484716,157.6748861162099,156.78696112762088,155.98197225887182,155.22272082759406,154.52449821207335,153.87385230361684,153.29752885978957,152.7846627390214,152.29973323254669,151.83501412837492,151.40142340972363,150.9896552454085,150.59798380411442,150.23399888722182,149.88680800020794,149.54410738030333,149.20849381420706,148.88344227345783,148.56161179806963,148.24135523758144,147.92425474278488,147.60849201804658,147.29412586115504,146.9945907717411,146.7089747708405,146.42704307110787,146.14911569420454,145.88042795672172,145.61732726057446,145.35671015505483,145.10022851232986,144.84510637743188,144.59208445042427,144.3419994820835,144.09475953860294,143.85177796891205,143.60879639922118,143.37210648518743,143.13863026275666,142.90564470979174,142.67514843159088,142.44465215339002,142.2147763218505,141.9884639709282,141.76387291394522,141.54214543705922,141.32291988645258,141.1074502906034,140.89402260001137,140.6813843666277,140.4734312961087,140.26989762512397,140.06686688961975,139.86438802878453,139.66278505379768,139.462493571794,139.26354424477958,139.06478224164147,138.86773460293116,138.67225182868353,138.48082833239113,138.294165776459,138.1085223873771,137.9228835494918,137.73926493499602,137.55982989092075,137.38056090675153,137.2022386130527,137.02391631935396,136.84830509985628,136.67477540591247,136.50190247415918,136.33004176634049,136.16004032565326,135.99154711644323,135.82683483680535,135.66365208263167,135.50089020838854,135.33821391961467,135.1779050083289,135.0180666866808,134.8593619191652,134.7021369238117,134.5476312837892,134.39511060399948,134.24258992420977,134.09006924442005,133.93827268697942,133.78750201821057,133.63690032556465,133.48747642835636,133.3387930309681,133.19290841594423,133.0470238009203,132.90179676832363,132.7570873751888,132.61300723970083,132.4697156918045,132.32642414390824,132.18313259601194
pct_solar_7,158.28388657730332,157.3229698678066,156.44142754367698,155.6290898750478,154.8857673614662,154.19276771715988,153.5414104557028,152.98147901447558,152.47079333144194,151.9806475382829,151.51226251924035,151.07367213186947,150.65495500689804,150.25269186556332,149.8806556364019,149.52386760670709,149.1708429488319,148.82872302210694,148.49740881051613,148.17021207721558,147.84523944608952,147.52034002321025,147.19727741113718,146.88137856139903,146.57030497306243,146.26295262971203,145.97047588137042,145.68328451467562,145.3993449877736,145.1204695793008,144.8541556293975,144.59201749519036,144.3320642833933,144.07758406163677,143.82376845312217,143.57463848160867,143.32874786364428,143.08462263370984,142.8428628740353,142.60306627066873,142.3647046621322,142.13083336732666,141.89784624776038,141.66485912819414,141.43398478847274,141.2039485765579,140.97391236464316,140.74387615272835,140.51383994081363,140.28470174159025,140.0649854855456,139.84838331346202,139.63394044626253,139.4196421181028,139.20662728989402,138.99694965535718,138.78955733347365,138.5872086556413,138.38502962472862,138.1828505938159,137.9819356517481,137.78229493765045,137.58485619135485,137.38977177965336,137.19700697203547,137.00691714504933,136.8191710906263,136.63395617579224,136.45060879502856,136.2677500694913,136.0859359893262,135.90655614056038,135.72868075441124,135.55287084759482,135.37706094077848,135.2012510339621,135.02544112714574,134.84963122032937,134.673821313513,134.49801140669666,134.32370274357356,134.15083266571963,133.97853392648753,133.80743811560708,133.64125904011968,133.47624448842308,133.3138660589096,133.15431679335973,132.9951742403376,132.83797805370153,132.68232392871968,132.52851432503988,132.37487090895146,132.22251476569258,132.07155607782934,131.9205973899661,131.77129488144462,131.62511471388322,131.48044467216423,131.33825695963742,131.19617942231204
pct_solar_8,157.9780656261103,157.0362227132834,156.1471447439724,155.34469548999334,154.59923699019532,153.9132901843741,153.27338913631647,152.7022739667895,152.19685614236852,151.7087503385915,151.23448576196526,150.7909412678354,150.3764952827037,149.97051671475762,149.59265297283167,149.22472353519123,148.86598509042602,148.5170646655661,148.17640255007143,147.83838597863897,147.50332476391887,147.1698406538874,146.83817641148528,146.51064535151923,146.19198936104314,145.87862183411391,145.57251699690212,145.27222510097164,144.97719017793105,144.69166527403374,144.41243965791722,144.137393545516,143.87019166746785,143.60804423377525,143.3502703059417,143.09517264970802,142.84229151057525,142.59366349409294,142.34503547761062,142.0980015077292,141.85259247420137,141.6105219408129,141.3715703785749,141.13347363852085,140.8982196709919,140.66464259772414,140.43123767085007,140.19943113063258,139.9676469335945,139.73742903567089,139.50826723119562,139.2814099888158,139.0554173406797,138.83255777937225,138.6107687738637,138.39244427603435,138.17675152845695,137.96313339302586,137.7510140210993,137.5411003036407,137.33502056527328,137.13130429295342,136.93077454427834,136.73024479560323,136.5315062435806,136.3350294508156,136.13974069333165,135.9451215089605,135.7526023949188,135.56050698126026,135.37138868213063,135.18268141649324,134.9958136191135,134.81366508644436,134.63151655377513,134.4508600046183,134.2709479337626,134.0915680849968,133.9123505619442,133.73592298412746,133.56011307731114,133.38430317049475,133.20849326367838,133.03268335686204,132.85687345004564,132.68106354322927,132.50620085749446,132.3332764927891,132.1610641447143,131.9906605839006,131.82102711027918,131.65245553273772,131.48483310788203,131.32041860017412,131.15956412429523,131.00106992950762,130.84432056952386,130.68936386533224,130.53851751166746,130.38978027779774,130.2426127565926
pct_solar_9,157.71163739358403,156.78434517912467,155.9130635247223,155.10844898941554,154.36050150562735,153.67337499048517,153.03599505157425,152.45777112500613,151.94775437297244,151.45983349080655,150.98813799804913,150.5531119251061,150.132236173886,149.72241172416133,149.33950839207375,148.96340421853168,148.5967943053702,148.2373096983741,147.88736431885695,147.5457658896201,147.21043628201159,146.87598633062504,146.54203994605828,146.2094957999196,145.87727863304005,145.55007518589093,145.23131236537571,144.92481251372945,144.6225926747892,144.3255742174081,144.03325100729984,143.7472311727809,143.46812172179463,143.19930068071966,142.9308407076391,142.66318966184707,142.40177193223204,142.14406490129605,141.8916271179229,141.64125287052053,141.39265266264746,141.14506568807218,140.8984037548161,140.65174182156002,140.40831272563017,140.16641762134583,139.92685137032777,139.68776958596465,139.4519785521157,139.21813513362724,138.986281747699,138.75674256074544,138.5292825898072,138.30223435973903,138.07530504125265,137.84887053965736,137.62410985041637,137.4031404804192,137.18426285632475,136.96554838260144,136.74779189400104,136.5349866590978,136.3227167766483,136.11330086835724,135.90407036641264,135.69906756824972,135.4997375749185,135.30108406537767,135.1036171194143,134.9080114360857,134.7126917185392,134.5175157669524,134.32496092450242,134.13474361848992,133.94452631247742,133.75430900646495,133.56634974256087,133.38072039384332,133.19509104512576,133.00946169640824,132.82383234769068,132.63981690093698,132.45721508786198,132.27672544205498,132.09867821512734,131.92104698024266,131.74690623915552,131.57381679343604,131.40246098003226,131.23129963768065,131.0602175035355,130.8891798153344,130.71937438725521,130.55039194658573,130.3820261990481,130.21439538938884,130.04676457972957,129.8795003751412,129.71274676387344,129.54660445172019,129.38646162562378
