,year,BA,Peak Available (MW),Peak Actual (MW),N Matches
0,2013,ERCO,239.5,151.6,9
1,2014,ERCO,402.50000000000006,312.3,14
2,2015,ERCO,491.40000000000003,347.70000000000005,11
3,2016,ERCO,567.6,396.99999999999994,13
4,2017,ERCO,613.0,410.69999999999993,15
5,2018,ERCO,639.4999999999999,461.4000000000001,14
6,2019,ERCO,600.626,382.81100000000004,15
7,2013,NYIS,256.7,147.1,7
8,2014,NYIS,294.3,37.1,9
9,2015,NYIS,117.09999999999998,45.400000000000006,8
10,2016,NYIS,968.1,887.0,10
11,2017,NYIS,655.6,508.90000000000003,9
12,2018,NYIS,813.5,701.4000000000001,9
13,2019,NYIS,795.0029999999999,601.941,11
14,2013,PJM,4239.400000000001,2614.7000000000003,59
15,2014,PJM,2503.8999999999996,1421.6,69
16,2015,PJM,4338.900000000001,1918.0000000000002,55
17,2016,PJM,4339.4000000000015,1486.9999999999998,57
18,2017,PJM,5191.000000000002,2248.6,52
19,2018,PJM,4190.999999999999,2145.4999999999995,59
20,2019,PJM,4726.983000000001,2194.4039999999995,63
